2025-04-14 22:29:47.931  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.932  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.965  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.965  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:48.003  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:48.003  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:48.039  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:48.039  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:48.067  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:48.067  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:48.096  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:48.097  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:48.127  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:48.127  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:48.165  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:48.165  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:48.207  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:48.207  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:48.243  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:48.243  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:48.284  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:48.284  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:48.317  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:48.317  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:48.347  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 1
2025-04-14 22:29:48.347  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 1
2025-04-14 22:29:48.379  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 1
2025-04-14 22:29:48.379  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 1
2025-04-14 22:29:48.425  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 1
2025-04-14 22:29:48.425  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 1
2025-04-14 22:29:48.458  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 1
2025-04-14 22:29:48.458  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 1
2025-04-14 22:29:48.493  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 1
2025-04-14 22:29:48.493  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 1
2025-04-14 22:29:48.525  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 1
2025-04-14 22:29:48.525  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 1
2025-04-14 22:29:48.558  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 1
2025-04-14 22:29:48.559  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 1
2025-04-14 22:29:48.587  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 1
2025-04-14 22:29:48.587  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 1
2025-04-14 22:29:48.633  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 1
2025-04-14 22:29:48.633  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 1
2025-04-14 22:29:48.668  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 1
2025-04-14 22:29:48.668  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 1
2025-04-14 22:29:48.700 ERROR 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Updated IncomeEvent information is empty for scenario id: 1
2025-04-14 22:29:48.729  INFO 35230 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2025-04-14 22:29:48.731  INFO 35230 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2025-04-14 22:29:48.893  INFO 35230 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2025-04-14 22:36:21.674  INFO 40178 --- [Test worker] c.a.l.i.SimulationServiceIntegrationTest : Starting SimulationServiceIntegrationTest using Java 23.0.2 on MacBook-Pro.local with PID 40178 (started by seongminsohn in /Users/seongminsohn/Desktop/2025Spring/416/lifetime-financial-planner)
2025-04-14 22:36:21.678  INFO 40178 --- [Test worker] c.a.l.i.SimulationServiceIntegrationTest : No active profile set, falling back to 1 default profile: "default"
2025-04-14 22:36:22.223  INFO 40178 --- [Test worker] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
